mm;SiteID;climatologico;SiteName;SiteCode;FullSiteCode;Latitude;Longitude;Elevation;cod_rete;comune;provincia;County;nome_rete;cod_reg
9;6686;7.036726483696927;S. VALENTINO ALLA M;160080;160080;46.75;10.533;1461;11;CURON VENOSTA;BOLZANO;TRENTINO-ALTO ADIGE;Sinottica;4
9;6690;12.505235936264672;BOLZANO;160200;160200;46.467;11.333;241;11;BOLZANO;BOLZANO;TRENTINO-ALTO ADIGE;Sinottica;4
9;6691;4.898281791643861;PASSO ROLLE;160210;160210;46.3;11.783;2006;11;SIROR;TRENTO;TRENTINO-ALTO ADIGE;Sinottica;4
9;6692;4.475824302134647;PAGANELLA;160220;160220;46.15;11.033;2129;11;FAI DELLA PAGANELLA;TRENTO;TRENTINO-ALTO ADIGE;Sinottica;4
9;6693;6.729095785440613;DOBBIACO;160330;160330;46.733;12.217;1226;11;DOBBIACO;BOLZANO;TRENTINO-ALTO ADIGE;Sinottica;4
9;6694;14.062372194793934;AVIANO;160360;160360;46.033;12.6;128;11;AVIANO;PORDENONE;FRIULI-VENEZIA GIULIA;NA;6
9;6697;8.848109312690594;TARVISIO;160400;160400;46.5;13.583;778;11;TARVISIO;UDINE;FRIULI-VENEZIA GIULIA;Sinottica;6
9;6700;13.572720876689607;UDINE/RIVOLTO;160450;160450;45.983;13.033;53;11;CODROIPO;UDINE;FRIULI-VENEZIA GIULIA;NA;6
9;6703;-2.7988137931034482;PIAN ROSA;160520;160520;45.933;7.7;3488;11;VALTOURNENCHE;AOSTA;VALLE D'AOSTA;Sinottica;2
9;6707;13.230444444444444;TORINO/CASELLE;160590;160590;45.217;7.65;287;11;SAN MAURIZIO CANAVESE;TORINO;PIEMONTE;Sinottica;1
9;6709;14.266264367816092;TORINO/BRIC DELLA C;160610;160610;45.033;7.733;710;11;PECETTO TORINESE;TORINO;PIEMONTE;Sinottica;1
9;6710;13.28661688885827;NOVARA/CAMERI;160640;160640;45.517;8.667;169;11;CAMERI;NOVARA;PIEMONTE;Sinottica;1
9;6711;12.297333333333333;MILANO/MALPENSA;160660;160660;45.617;8.733;211;11;FERNO;VARESE;LOMBARDIA;Sinottica;3
9;6717;14.580114942528736;BERGAMO/ORIO AL SER;160760;160760;45.667;9.7;237;11;ORIO AL SERIO;BERGAMO;LOMBARDIA;Sinottica;3
9;6718;14.7835;MILANO/LINATE;160800;160800;45.433;9.283;103;11;PESCHIERA BORROMEO;MILANO;LOMBARDIA;Sinottica;3
9;6720;13.510551301272441;PIACENZA;160840;160840;44.917;9.733;138;11;SAN GIORGIO PIACENTINO;PIACENZA;EMILIA-ROMAGNA;Sinottica;8
9;6721;14.24140665273424;BRESCIA/GHEDI;160880;160880;45.417;10.283;97;11;GHEDI;BRESCIA;LOMBARDIA;Sinottica;3
9;6723;14.238499726327312;VERONA/VILLAFRANCA;160900;160900;45.383;10.867;68;11;VILLAFRANCA DI VERONA;VERONA;VENETO;Sinottica;5
9;6729;14.395979676828253;TREVISO/ISTRANA;160980;160980;45.683;12.1;46;11;ISTRANA;TREVISO;VENETO;Sinottica;5
9;6730;14.476572834396853;TREVISO/S. ANGELO;160990;160990;45.65;12.183;23;11;QUINTO DI TREVISO;TREVISO;VENETO;Sinottica;5
9;6733;14.896333333333333;VENEZIA/TESSERA;161050;161050;45.5;12.333;6;11;VENEZIA;VENEZIA;VENETO;Sinottica;5
9;6735;13.176620689655172;RONCHI DEI LEGIONAR;161080;161080;45.817;13.483;12;11;RONCHI DEI LEGIONARI;GORIZIA;FRIULI-VENEZIA GIULIA;Sinottica;6
9;6736;17.167708812260535;TRIESTE;161100;161100;45.65;13.75;20;11;TRIESTE;TRIESTE;FRIULI-VENEZIA GIULIA;Sinottica;6
9;6739;14.477222026741732;MONDOVI;161140;161140;44.383;7.817;560;11;MONDOVI';CUNEO;PIEMONTE;Sinottica;1
9;6744;12.107859354663328;PASSO DEI GIOVI;161190;161190;44.633;8.933;475;11;ISOLA DEL CANTONE;GENOVA;LIGURIA;Sinottica;7
9;6747;15.808710089399744;ALBENGA;161220;161220;44.05;8.117;49;11;ORTOVERO;SAVONA;LIGURIA;Sinottica;7
9;6749;11.378478234409268;PASSO DELLA CISA;161240;161240;44.433;9.933;1040;11;PONTREMOLI;MASSA CARRARA;TOSCANA;Sinottica;9
9;6750;15.362603630752057;SARZANA/LUNI;161250;161250;44.083;9.983;10;11;SARZANA;LA SPEZIA;LIGURIA;NA;7
9;6758;5.471686644772852;MONTE CIMONE;161340;161340;44.2;10.7;2173;11;RIOLUNATO;MODENA;EMILIA-ROMAGNA;Sinottica;8
9;6762;14.91800271066281;FERRARA;161380;161380;44.833;11.617;10;11;FERRARA;FERRARA;EMILIA-ROMAGNA;Sinottica;8
9;6763;14.889444444444445;BOLOGNA/BORGO PANIG;161400;161400;44.533;11.3;49;11;BOLOGNA;BOLOGNA;EMILIA-ROMAGNA;Sinottica;8
9;6766;15.88878893978844;PUNTA MARINA;161460;161460;44.45;12.3;6;11;RAVENNA;RAVENNA;EMILIA-ROMAGNA;Sinottica;8
9;6768;13.991170406860062;CERVIA;161480;161480;44.217;12.3;10;11;CESENA;FORLI-CESENA;EMILIA-ROMAGNA;Sinottica;8
9;6769;15.055126984126984;RIMINI;161490;161490;44.033;12.617;13;11;RIMINI;RIMINI;EMILIA-ROMAGNA;Sinottica;8
9;6771;18.42220153256705;CAPO MELE;161530;161530;43.95;8.167;221;11;LAIGUEGLIA;SAVONA;LIGURIA;Sinottica;7
9;6773;14.942188905547226;PISA/S. GIUSTO;161580;161580;43.683;10.383;6;11;PISA;PISA;TOSCANA;Sinottica;9
9;6776;16.01789417989418;MONTE ARGENTARIO;161680;161680;42.383;11.167;631;11;MONTE ARGENTARIO;GROSSETO;TOSCANA;Sinottica;9
9;6777;14.953777777777779;FIRENZE/PERETOLA;161700;161700;43.8;11.2;38;11;FIRENZE;FIRENZE;TOSCANA;Sinottica;9
9;6779;11.823234567901235;AREZZO;161720;161720;43.467;11.85;249;11;AREZZO;AREZZO;TOSCANA;Sinottica;9
9;6782;14.611543400713437;FRONTONE;161790;161790;43.517;12.733;574;11;FRONTONE;PESARO E URBINO;MARCHE;Sinottica;11
9;6784;13.676507936507937;PERUGIA;161810;161810;43.083;12.5;205;11;BASTIA;PERUGIA;UMBRIA;Sinottica;10
9;6787;15.117476190476191;FALCONARA;161910;161910;43.617;13.367;10;11;FALCONARA MARITTIMA;ANCONA;MARCHE;Sinottica;11
9;6790;16.988244520030236;M. CALAMITA;161970;161970;42.733;10.4;397;11;CAPOLIVERI;LIVORNO;TOSCANA;Sinottica;9
9;6793;13.466867360755955;RADICOFANI;162040;162040;42.9;11.767;828;11;RADICOFANI;SIENA;TOSCANA;Sinottica;9
9;6794;15.117045429666119;GROSSETO;162060;162060;42.75;11.067;7;11;GROSSETO;GROSSETO;TOSCANA;Sinottica;9
9;6795;19.029851692104963;CIVITAVECCHIA;162140;162140;42.033;11.833;4;11;CIVITAVECCHIA;ROMA;LAZIO;Sinottica;12
9;6797;14.273031316360228;VITERBO;162160;162160;42.433;12.05;308;11;VITERBO;VITERBO;LAZIO;Sinottica;12
9;6800;7.596391099322134;MONTE TERMINILLO;162190;162190;42.467;12.983;1875;11;CANTALICE;RIETI;LAZIO;Sinottica;12
9;6801;15.916502463054186;RIETI;162210;162210;42.417;12.85;389;11;RIETI;RIETI;LAZIO;NA;12
9;6803;16.685074499787145;VIGNA DI VALLE;162240;162240;42.083;12.217;266;11;BRACCIANO;ROMA;LAZIO;Sinottica;12
9;6810;14.501399128022195;PESCARA;162300;162300;42.433;14.2;11;11;PESCARA;PESCARA;ABRUZZO;Sinottica;13
9;6812;19.62193036550508;TERMOLI;162320;162320;42;15;44;11;TERMOLI;CAMPOBASSO;MOLISE;Sinottica;14
9;6814;14.943671314812812;GUIDONIA;162340;162340;42;12.733;89;11;GUIDONIA MONTECELIO;ROMA;LAZIO;Sinottica;12
9;6815;15.842175183267138;ROMA/URBE;162350;162350;41.95;12.5;24;11;FIUMICINO;ROMA;LAZIO;Sinottica;12
9;6817;16.079789272030652;ROMA/CIAMPINO;162390;162390;41.783;12.583;105;11;FIUMICINO;ROMA;LAZIO;Sinottica;12
9;6819;15.91763139329806;ROMA FIUMICINO;162420;162420;41.8;12.233;3;11;FIUMICINO;ROMA;LAZIO;Sinottica;12
9;6820;16.072974412927884;LATINA;162430;162430;41.55;12.9;26;11;LATINA;LATINA;LAZIO;Sinottica;12
9;6821;14.165443308350303;FROSINONE;162440;162440;41.633;13.3;185;11;FROSINONE;FROSINONE;LAZIO;Sinottica;12
9;6822;16.977847777169615;PRATICA DI MARE;162450;162450;41.65;12.45;21;11;POMEZIA;ROMA;LAZIO;Sinottica;12
9;6826;14.099026455026456;CAMPOBASSO;162520;162520;41.567;14.65;807;11;CAMPOBASSO;CAMPOBASSO;MOLISE;Sinottica;14
9;6827;15.819459770114943;GRAZZANISE;162530;162530;41.05;14.067;10;11;CANCELLO ED ARNONE;CASERTA;CAMPANIA;Sinottica;15
9;6828;14.235390743781549;MONTE S. ANGELO;162580;162580;41.7;15.95;844;11;MONTE SANT'ANGELO;FOGGIA;PUGLIA;Sinottica;16
9;6834;15.552560932304411;AMENDOLA;162610;162610;41.533;15.717;60;11;SAN GIOVANNI ROTONDO;FOGGIA;PUGLIA;Sinottica;16
9;6836;12.307378497619878;TREVICO;162630;162630;41.05;15.233;1093;11;TREVICO;AVELLINO;CAMPANIA;Sinottica;15
9;6839;16.516222222222222;BARI/PALESE MACCHIE;162700;162700;41.133;16.783;49;11;BARI;BARI;PUGLIA;Sinottica;16
9;6841;20.244993705528188;PONZA;162800;162800;40.917;12.95;185;11;PONZA;LATINA;LAZIO;Sinottica;12
9;6844;17.225952380952382;NAPOLI/CAPODICHINO;162890;162890;40.85;14.3;72;11;NAPOLI;NAPOLI;CAMPANIA;Sinottica;15
9;6847;19.888198139025725;CAPRI;162940;162940;40.55;14.2;161;11;ANACAPRI;NAPOLI;CAMPANIA;Sinottica;15
9;6850;19.04960371096503;CAPO PALINURO;163100;163100;40.017;15.283;185;11;CENTOLA;SALERNO;CAMPANIA;Sinottica;15
9;6851;14.684654320987654;GIOIA DEL COLLE;163120;163120;40.767;16.933;350;11;GIOIA DEL COLLE;BARI;PUGLIA;Sinottica;16
9;6853;14.275671123621862;LATRONICO;163160;163160;40.083;16.017;896;11;LATRONICO;POTENZA;BASILICATA;Sinottica;17
9;6856;18.74310119807821;BRINDISI;163200;163200;40.65;17.95;10;11;BRINDISI;BRINDISI;PUGLIA;Sinottica;16
9;6857;20.234946047384472;GROTTAGLIE;163240;163240;40.517;17.4;69;11;GROTTAGLIE;TARANTO;PUGLIA;Sinottica;16
9;6858;17.699543209876545;MARINA DI GINOSA;163250;163250;40.433;16.883;12;11;GINOSA;TARANTO;PUGLIA;Sinottica;16
